id,mutated,cleaned
0,lodsd;sub eax ebx;push edx;mov edx 769D93D9h;xor eax edx;push dword ptr [esp];pop edx;push ebp;mov ebp esp;add ebp 4;add ebp 4;xchg ebp [esp];pop esp;push 28D2h;mov [esp] esi;mov esi 5955h;push ebx;mov ebx 713981AEh;xor esi ebx;pop ebx;xor eax esi;pop esi;xor ebx eax;push ecx;mov ecx 4A1h;add ecx 6A7Bh;add ecx 0FFFF9110h;add ecx edi;add eax [ecx];push dword ptr [esp];pop ecx;add esp 4;push ecx;mov ecx esp;add ecx 4;sub ecx 4;push ecx;push dword ptr [esp+4];pop ecx;pop dword ptr [esp];mov esp [esp];mov [esp] eax;,pop ecx;shl dword ptr [esp] cl;
1,mov ax [esp];push edi;mov edi esp;push eax;mov eax 4;add edi eax;pop eax;add edi 2;xchg edi [esp];mov esp [esp];and [esp] al;pushf;,pop esp;
2,lodsd;cmp dword ptr [edi+20h] 0;jz loc_1CC73;add esi eax;mov ebx 245h;push 1D51h;mov [esp] edx;mov edx 0;sub edx ebx;xchg edx ebx;pop edx;shr ebx 14h;push ecx;mov ecx 0FFFh;sub ebx ecx;pop ecx;label_1cc73:;push edi;mov edi esp;add edi 4;push eax;mov eax 4;sub edi eax;pop eax;xchg edi [esp];pop esp;mov [esp] eax;pop eax;,pop eax;xor [esp] eax;
3,mov cx [esp];push eax;mov eax esp;push edx;mov edx 4;add eax edx;mov edx [esp];add esp 4;add eax 2;xchg eax [esp];pop esp;ror byte ptr [esp] cl;pushf;,pop ax;btr [esp] ax;pushf;
4,pop dword ptr [edi+3Ch];,and dword ptr [edi+1Ch] 0FFFFFDFFh;
5,mov cx [esp];push 417Eh;mov [esp] edx;mov edx esp;add edx 4;add edx 2;xor edx [esp];xor [esp] edx;xor edx [esp];pop esp;mov ax [esp];push edx;mov edx esp;push edi;mov edi 4;add edx edi;pop edi;add edx 2;xchg edx [esp];mov esp [esp];mul  cx;push edi;push esp;pop edi;push edx;mov edx 4;add edi edx;pop edx;sub edi 2;xchg edi [esp];pop esp;mov [esp] dx;push ax;pushf;,pop ax;sub [esp] al;pushf;
6,mov cx [esp];sub esp 4;mov [esp] ebx;mov ebx esp;add ebx 4;add ebx 2;xor ebx [esp];xor [esp] ebx;xor ebx [esp];pop esp;mov ax [esp];push 3AFEh;mov [esp] ecx;push esp;pop ecx;add ecx 4;add ecx 2;xchg ecx [esp];pop esp;mul  cl;movzx cx ah;push eax;mov eax esp;push edi;mov edi 4;add eax edi;pop edi;push esi;mov esi 2;sub eax esi;pop esi;xchg eax [esp];pop esp;mov [esp] cx;movzx cx al;push cx;pushf;,pop ax;or [esp] ax;pushf;
7,mov ax [esp];push ecx;mov ecx esp;add ecx 4;push eax;push ecx;mov ecx 2;mov eax ecx;pop ecx;add ecx eax;pop eax;xchg ecx [esp];pop esp;mov fs:[edx] ax;,pop cx;shl byte ptr [esp] cl;pushf;
8,lodsd;sub eax ebx;push edx;push ecx;mov ecx 53F9h;sub ecx 5AB0h;add ecx 4E3Eh;not ecx;add ecx 4B60DA45h;push ecx;pop edx;pop ecx;add eax edx;pop edx;push 1A5Eh;mov [esp] ecx;mov ecx 27785512h;sub eax ecx;push dword ptr [esp];pop ecx;add esp 4;sub ebx eax;xor edx eax;,push esp;
9,lodsd;add esi eax;mov ebx 2B7Bh;push 2EB2h;mov [esp] ecx;mov ecx 9E6h;xor ebx ecx;mov ecx [esp];add esp 4;xor ebx 229Dh;,pop ax;pop cx;test cx ax;pushf;
10,mov cx [esp];push eax;push esp;pop eax;add eax 4;push edx;mov edx 2;add eax edx;pop edx;xchg eax [esp];pop esp;rol word ptr [esp] cl;pushf;,pop cx;rol word ptr [esp] cl;pushf;
11,mov ax [esp];push ecx;push esp;pop ecx;add ecx 4;push esi;mov esi 2;add ecx esi;pop esi;xchg ecx [esp];pop esp;add [esp] ax;pushf;,pop ax;add [esp] ax;pushf;
12,mov ax [esp];push edx;mov edx esp;push edi;mov edi 4;add edx edi;pop edi;add edx 2;xchg edx [esp];mov esp [esp];or [esp] al;pushf;,pop cx;pop ax;div  cx;push dx;push ax;pushf;
13,mov ax [esp];push ecx;mov ecx esp;add ecx 4;add ecx 2;xor ecx [esp];xor [esp] ecx;xor ecx [esp];mov esp [esp];mov cx [esp];push edi;mov edi esp;add edi 4;add edi 2;push edi;push dword ptr [esp+4];pop edi;pop dword ptr [esp];mov esp [esp];cmp cx ax;pushf;,pop ax;adc [esp] ax;pushf;
14,mov ax [esp];push ebx;mov ebx esp;add ebx 4;push ecx;mov ecx 2;add ebx ecx;pop ecx;xor ebx [esp];xor [esp] ebx;xor ebx [esp];pop esp;mov cx [esp];push edi;push esp;pop edi;add edi 4;push edx;mov edx 2;add edi edx;pop edx;xchg edi [esp];pop esp;test cl al;pushf;,push dword ptr [edx];
15,push dword ptr [esp];mov ecx [esp];add esp 4;push edi;mov edi esp;add edi 4;add edi 4;xchg edi [esp];pop esp;mov eax [esp];push ecx;mov ecx esp;add ecx 4;push edi;mov edi 4;add ecx edi;pop edi;push ecx;push dword ptr [esp+4];pop ecx;pop dword ptr [esp];pop esp;mov edx [esp];push edx;push 12EEh;mov [esp] esp;add dword ptr [esp] 4;pop edx;add edx 4;add edx 4;xchg edx [esp];pop esp;div  ecx;push edx;push esp;pop edx;push ebp;mov ebp 4;add edx ebp;pop ebp;sub edx 4;xchg edx [esp];pop esp;mov [esp] edx;push eax;pushf;,movzx ax byte ptr [edx];push ax;
